sample_ID	Accession	Name	subspecies	City	Date	delivery_date	read_count	reads_per_million
ww037877	NC_026435.1	Influenza A virus H1N1	t__Influenza A H1N1	Laredo	2026-02-27	2026-03-13	3	0.47046277855317015
ww037877	NC_026433.1	Influenza A virus H1N1	t__Influenza A H1N1	Laredo	2026-02-27	2026-03-13	2	0.31364185236878006
ww037877	NC_026431.1	Influenza A virus H1N1	t__Influenza A H1N1	Laredo	2026-02-27	2026-03-13	13	2.0386720403970706
ww037878	NC_007371.1	Influenza A virus H3N2	t__Influenza A H3N2	Las Vegas	2026-02-27	2026-03-13	10	0.8728814077133038
ww037878	NC_007366.1	Influenza A virus H3N2	t__Influenza A H3N2	Las Vegas	2026-02-27	2026-03-13	6	0.5237288446279823
ww037878	NC_007368.1	Influenza A virus H3N2	t__Influenza A H3N2	Las Vegas	2026-02-27	2026-03-13	3	0.26186442231399115
ww037878	NC_007370.1	Influenza A virus H3N2	t__Influenza A H3N2	Las Vegas	2026-02-27	2026-03-13	14	1.2220339707986254
ww037879	NC_007373.1	Influenza A virus H3N2	t__Influenza A H3N2	Jupiter	2026-02-27	2026-03-13	7	0.5016658171792163
ww037879	NC_007371.1	Influenza A virus H3N2	t__Influenza A H3N2	Jupiter	2026-02-27	2026-03-13	8	0.5733323624905329
ww037879	NC_007369.1	Influenza A virus H3N2	t__Influenza A H3N2	Jupiter	2026-02-27	2026-03-13	14	1.0033316343584326
ww037879	NC_007368.1	Influenza A virus H3N2	t__Influenza A H3N2	Jupiter	2026-02-27	2026-03-13	4	0.28666618124526644
ww037879	NC_026438.1	Influenza A virus H1N1	t__Influenza A H1N1	Jupiter	2026-02-27	2026-03-13	7	0.5016658171792163
ww037879	NC_026435.1	Influenza A virus H1N1	t__Influenza A H1N1	Jupiter	2026-02-27	2026-03-13	3	0.2149996359339498
ww037879	NC_026436.1	Influenza A virus H1N1	t__Influenza A H1N1	Jupiter	2026-02-27	2026-03-13	16	1.1466647249810658
ww037880	NC_007373.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	16	1.1332688786658591
ww037880	NC_007372.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	21	1.4874154032489402
ww037880	NC_007371.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	19	1.3457567934157078
ww037880	NC_007366.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	18	1.2749274884990915
ww037880	NC_007369.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	15	1.0624395737492431
ww037880	NC_007368.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	21	1.4874154032489402
ww037880	NC_007367.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	2	0.1416586098332324
ww037880	NC_007370.1	Influenza A virus H3N2	t__Influenza A H3N2	Lincoln	2026-02-27	2026-03-13	4	0.2833172196664648
ww037881	NC_007373.1	Influenza A virus H3N2	t__Influenza A H3N2	Atlanta	2026-02-26	2026-03-13	6	0.5197853702249267
ww037881	NC_007371.1	Influenza A virus H3N2	t__Influenza A H3N2	Atlanta	2026-02-26	2026-03-13	4	0.34652358014995116
ww037881	NC_026434.1	Influenza A virus H1N1	t__Influenza A H1N1	Atlanta	2026-02-26	2026-03-13	4	0.34652358014995116
ww037882	KX421149.1	Influenza A virus H9N2	t__Influenza A H9N2	Rochester	2026-02-27	2026-03-13	3	0.41385189895943836
ww037882	NC_007373.1	Influenza A virus H3N2	t__Influenza A H3N2	Rochester	2026-02-27	2026-03-13	28	3.862617723621425
ww037882	NC_007372.1	Influenza A virus H3N2	t__Influenza A H3N2	Rochester	2026-02-27	2026-03-13	29	4.0005683566079036
ww037882	NC_007371.1	Influenza A virus H3N2	t__Influenza A H3N2	Rochester	2026-02-27	2026-03-13	9	1.241555696878315
